==9384== Lackey, an example Valgrind tool
==9384== Copyright (C) 2002-2017, and GNU GPL'd, by Nicholas Nethercote.
==9384== Using Valgrind-3.13.0 and LibVEX; rerun with -h for copyright info
==9384== Command: ls
 S 04229b38,8
I  04002201,2
I  040021e0,3
 L 04000bc8,8
I  040021e3,3
I  040021e6,4
 L 04000bd0,4
I  040021ea,6
I  040021f0,4
 L 04000bd8,8
I  040021f4,4
I  040021f8,3
I  040021fb,3
I  040021fe,3
 S 04229b40,8
I  04002201,2
I  040021e0,3
 L 04000be0,8
I  040021e3,3
I  040021e6,4
 L 04000be8,4
I  040021ea,6
I  040021f0,4
 L 04000bf0,8
I  040021f4,4
I  040021f8,3
I  040021fb,3
I  040021fe,3
 S 04229b70,8
I  04002201,2
I  040021e0,3
 L 04000bf8,8
I  040021e3,3
I  040021e6,4
 L 04000c00,4
I  040021ea,6
I  040021f0,4
 L 04000c08,8
I  040021f4,4
I  040021f8,3
I  040021fb,3
I  040021fe,3
 S 04229b78,8
I  04002201,2
I  040021e0,3
 L 04000c10,8
I  040021e3,3
I  040021e6,4
 L 04000c18,4
I  040021ea,6
I  040021f0,4
 L 04000c20,8
I  040021f4,4
I  040021f8,3
I  040021fb,3
I  040021fe,3
 S 04229bb0,8
I  04002201,2
I  040021e0,3
 L 04000c28,8
I  040021e3,3
I  040021e6,4
 L 04000c30,4
I  040021ea,6
I  040021f0,4
 L 04000c38,8
I  040021f4,4
I  040021f8,3
I  040021fb,3
I  040021fe,3
 S 04229be8,8
I  04002201,2
I  040021e0,3
 L 04000c40,8
I  040021e3,3
I  040021e6,4
 L 04000c48,4
I  040021ea,6
I  040021f0,4
 L 04000c50,8
I  040021f4,4
I  040021f8,3
I  040021fb,3
I  040021fe,3
 S 04229c20,8
I  04002201,2
I  040021e0,3
 L 04000c58,8
I  040021e3,3
I  040021e6,4
 L 04000c60,4
I  040021ea,6
I  040021f0,4
 L 04000c68,8
I  040021f4,4
I  040021f8,3
I  040021fb,3
I  040021fe,3
 S 04229c58,8
I  04002201,2
I  040021e0,3
 L 04000c70,8
I  040021e3,3
I  040021e6,4
 L 04000c78,4
I  040021ea,6
I  040021f0,4
 L 04000c80,8
I  040021f4,4
I  040021f8,3
I  040021fb,3
I  040021fe,3
 S 04229c90,8
I  04002201,2
I  040021e0,3
 L 04000c88,8
I  040021e3,3
I  040021e6,4
 L 04000c90,4
I  040021ea,6
I  040021f0,4
 L 04000c98,8
I  040021f4,4
I  040021f8,3
I  040021fb,3
I  040021fe,3
 S 04229cc0,8
I  04002201,2
I  040021e0,3
 L 04000ca0,8
I  040021e3,3
I  040021e6,4
 L 04000ca8,4
I  040021ea,6
I  040021f0,4
 L 04000cb0,8
I  040021f4,4
I  040021f8,3
I  040021fb,3
I  040021fe,3
 S 04229cc8,8
I  04002201,2
I  040021e0,3
 L 04000cb8,8
I  040021e3,3
I  040021e6,4
 L 04000cc0,4
I  040021ea,6
I  040021f0,4
 L 04000cc8,8
I  040021f4,4
I  040021f8,3
I  040021fb,3
I  040021fe,3
 S 04229cf8,8
I  04002201,2
I  040021e0,3
 L 04000cd0,8
I  040021e3,3
I  040021e6,4
 L 04000cd8,4
I  040021ea,6
I  040021f0,4
 L 04000ce0,8
I  040021f4,4
I  040021f8,3
I  040021fb,3
I  040021fe,3
 S 04229d00,8
I  04002201,2
I  040021e0,3
 L 04000ce8,8
I  040021e3,3
I  040021e6,4
 L 04000cf0,4
I  040021ea,6
I  040021f0,4
 L 04000cf8,8
I  040021f4,4
I  040021f8,3
I  040021fb,3
I  040021fe,3
 S 04229d30,8
I  04002201,2
I  040021e0,3
 L 04000d00,8
I  040021e3,3
I  040021e6,4
 L 04000d08,4
I  040021ea,6
I  040021f0,4
 L 04000d10,8
